1,1,3,1,1,1
2,101,102,78,3,1
3,1001,1002,785,6,1
4,10001,10002,7855,14,1
5,100001,100003,78540,29,1
6,1000001,1000002,785399,63,1
7,10000002,10000002,7851468,135,1
